subject,year,topic,exam,exercise,statement
MATES_CCSS,2001,Matrices Y Determinantes,Junio,Ejercicio 1 Opción B,"a) Determine los valores de x e y que hacen cierta la siguiente igualdad:
G JCC -36)
. . . - 13 01 -1
b) Determine la matriz X de dimensión 2x2 tal que: X - —2 =
25
SOCIALES II. 2001. JUNIO. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2001,Matrices Y Determinantes,Reserva 1,Ejercicio 1 Opcion A,"1 x -
Se considera la matriz A=| 1 1 1|.
x x 0
a) Calcule los valores de x para los que no existe la inversa de A.
b) Para x =3, calcule, si es posible, A”'. .
SOCIALES II. 2001 RESERVA 1. EJERCICIO 1. OPCION A"
MATES_CCSS,2001,Matrices Y Determinantes,Reserva 2,Ejercicio 1 Opción A,"Resuelva la siguiente ecuación matricial: A- X —2B = C, siendo:
0 -1 2 1
A=|1 01, B=
1 10
SOCIALES II. 2001 RESERVA 2. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2001,Matrices Y Determinantes,Reserva 3,Ejercicio 1 Opcion A,"01
y B=|1 0|, razone si posee solución la ecuación matricial A- X =B y,
1
Siendo A =| 2
101
en caso afirmativo, resuélvala. .
SOCIALES II. 2001 RESERVA 3. EJERCICIO 1. OPCION A"
MATES_CCSS,2002,Matrices Y Determinantes,Reserva 1,Ejercicio 1 Opcion A,"31
Sean las matrices: A=|1 3|; B [x] ; C
10 7
Calcule x, y, z, sabiendo que A-B=2C-D.
SOCIALES II. 2002 RESERVA 1. EJERCICIO 1. OPCION A"
MATES_CCSS,2002,Matrices Y Determinantes,Reserva 2,Ejercicio 1 Opcion A,". 2 -1 01 2 1 2 5
Sean las matrices: A = ; B= ; C=
3 — 1 1 - 34-
a) Realice, cuando sea posible, los siguientes productos de matrices: A-B; B-C; C:A
b) Resuelva la ecuación matricial: A-X + B =C.
SOCIALES II. 2002 RESERVA 2. EJERCICIO 1. OPCION A"
MATES_CCSS,2002,Matrices Y Determinantes,Reserva 3,Ejercicio 1 Opción B,"10 —
Sea la matriz A=|0 m -—6
1 1 —m
a) Determine para qué valores del parámetro m existeA:l . b) Calcule A7 para m =2.
SOCIALES II. 2002 RESERVA 3. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2002,Matrices Y Determinantes,Reserva 4,Ejercicio 1 Opción A,"100 1
Dada la matriz A=|1 1 0| determine, si existe, la matriz Y que verifique A- X =| 2
101 3
SOCIALES II. 2002 RESERVA 4. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2002,Matrices Y Determinantes,Septiembre,Ejercicio 1 Opción A,"Sea la matriz A=| 0
m+1
a) Calcule los valores de m para que dicha matriz tenga inversa.
b) Haciendo m = 4, resuelva la ecuación matricial X - A = (3 1 1) .
SOCIALES II. 2002. SEPTIEMBRE. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2003,Matrices Y Determinantes,Junio,Ejercicio 1 Opción B,". 12 4 3
Sean las matrices M = y N=
34 21
a) Calcule la matriz A =M-M'-5M (M' indica la traspuesta de M).
b) Calcule la matriz B = M y resuelva la ecuación N + X - M = M -B, donde Y es una matriz
2x2.
SOCIALES II. 2003. JUNIO. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2003,Matrices Y Determinantes,Reserva 1,Ejercicio 1 Opción B,". 3 m
Sea la matriz A =
l-m m+1
a) Calcule los valores de m para que dicha matriz tenga inversa.
b) Haciendo m = 0, resuelva la ecuación matricial A - X - A=17,, donde 7 es la matriz unidad de
orden 2 y X es una matriz cuadrada de orden 2.
SOCIALES II. 2003 RESERVA 1. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2003,Matrices Y Determinantes,Reserva 2,Ejercicio 1 Opción B,"Determine la matriz X, de orden 2, que verifica la igualdad:
“l =l
15) (-1
1 211
SOCIALES II. 2003 RESERVA 2. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2003,Matrices Y Determinantes,Reserva 3,Ejercicio 1 Opción A,"0 1
SOCIALES II. 2003 RESERVA 3. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2003,Matrices Y Determinantes,Reserva 4,Ejercicio 1 Opción B,"1 3 —5
Resuelva la ecuación: | 4 2+x x|=0
-1 1 —3
SOCIALES II. 2003 RESERVA 4. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2003,Matrices Y Determinantes,Septiembre,Ejercicio 1 Opción A,"2
Sea la matriz A = [0 * ]
x+2
a) Halle los valores de x para los que se verifica A* =2A
b) Para x=-1, halle A”'. Compruebe el resultado calculando A - A-'.
SOCIALES II. 2003. SEPTIEMBRE. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2004,Matrices Y Determinantes,Junio,Ejercicio 1 Opción B,"1 —
. 21 0 2 1
Sean las matrices A = , B= , C=| 0 2
0 2 - 22 2 0
a) Calcule la matriz P que verificaB-P—-A=C'.
b) Determine la dimensión de la matriz M para que pueda efectuarse el producto A-M-C
c) Determine la dimensión de la matriz N para que C' -N sea una matriz cuadrada.
SOCIALES II. 2004. JUNIO. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2004,Matrices Y Determinantes,Reserva 1,Ejercicio 1 Opcion A,", — 0 — 2 -1 2 -
Sean las matrices A = , B= y C= .
12 110 01 —
a) Calcule (A—7,)-B, siendo 7, la matriz identidad de orden 2.
b) Obtenga la matriz B' (matriz traspuesta de B) y calcule, si es posible, B' - A.
ce) Calcule la matriz X que verifica A- X +B=C.
SOCIALES II. 2004 RESERVA 1. EJERCICIO 1. OPCION A"
MATES_CCSS,2004,Matrices Y Determinantes,Reserva 2,Ejercicio 1 Opción A,"1 0
Dada la matriz A =[ 1], halle 42*,
SOCIALES II. 2004 RESERVA 2. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2004,Matrices Y Determinantes,Septiembre,Ejercicio 1 Opción B,"1
De una matriz A se sabe que su segunda fila es (—1 2) y que su segunda columna es | 2 |. Halle
—3
111 0 0
los restantes elementos de A sabiendo que -A= .
201 0 —
SOCIALES II. 2004. SEPTIEMBRE. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2005,Matrices Y Determinantes,Junio,Ejercicio 1 Opción A,"1 —
. 2 1 1
Sean las matrices A = y B=| 2 0
-1 01 2 1
a) Calcule la matriz C =B-A-4'-B'.
2
SOCIALES II. 2005. JUNIO. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2005,Matrices Y Determinantes,Reserva 3,Ejercicio 1 Opción A,"0 1
. 2 13
Sean las matrices: A = y B=|1 —
1—.2 0
1 1
De las siguientes operaciones, algunas no se pueden realizar; razone por qué. Efectúe las que se
puedan realizar.
A+B;A' +B; A-B; A-B'
SOCIALES II. 2005 RESERVA 3. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2005,Matrices Y Determinantes,Reserva 4,Ejercicio 1 Opción B,"-1 2
Sean las matrices A = ; y B= .
—y x 10
a) Calcule, si existe, la matriz inversa de B.
b)SiA-B=B-A y A+A'=3-1,,calculexey.
SOCIALES II. 2005 RESERVA 4. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2005,Matrices Y Determinantes,Septiembre,Ejercicio 1 Opción A,". 13 2 -1
Sean las matrices A = y B=
01 0 x
a) Determine el valor de x en la matriz B para que se verifique la igualdad: A-B=B-A
b) Obtenga la matriz C tal que: A' -C =1,
SOCIALES II. 2005. SEPTIEMBRE. EJERCICIO 1. OPCIÓN A"
MATES_CCSS,2006,Matrices Y Determinantes,Junio,Ejercicio 1 Opcion A,"x 1
Sean las matrices: A =
1 x+1
a) Encuentre el valor o valores de x de forma que B” = A.
b) Igualmente para que A-7,=B"""".
c) Determine x para que A -B =1,.
SOCIALES II. 2006 JUNIO. EJERCICIO 1. OPCION A"
MATES_CCSS,2006,Matrices Y Determinantes,Reserva 1,Ejercicio 1 Opción B,"Sean las matrices A = [
10
e
a) Calcule A-'-(2B+37)).
b) Determine la matriz X para que Y .- A=A+1,.
SOCIALES II. 2006 RESERVA 1. EJERCICIO 1. OPCIÓN B"
MATES_CCSS,2006,Matrices Y Determinantes,Reserva 2,Ejercicio 1 Opción A,". 2 -1 1 —
Sean las matrices A = y B= .
2 0 2 4
Calcule A-'.(B—4”).
SOCIALES II. 2006 RESERVA 2. EJERCICIO 1. OPCIÓN A"
