subject,year,topic,exam,exercise,statement
MATES_CCSS,2001,Funciones CCSS,Junio,"Ejercicio 2, Opción A","Calcule las funciones derivadas de las siguientes:
af
x
b) g(x)=(1—x?)c0os x
0) hx)=4x 51
e
SOCIALES Il. 2001. JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2001,Funciones CCSS,Reserva 1,"Ejercicio 2, Opción A","beneficio diario, en euros, será: B(x) =-—10x? +100x —210.
a) Represente la función precio-beneficio.
b) Indique a qué precio debe vender cada caja de fresas para obtener el máximo beneficio.
¿Cuál será ese beneficio máximo?
c) Determine a qué precios de la caja obtiene pérdidas el agricultor.
SOCIALES Il. 2001 RESERVA 1. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2001,Funciones CCSS,Reserva 2,"Ejercicio 2, Opción B","El consumo de luz (en miles de pesetas) de una vivienda, en función del tiempo transcurrido,
nos viene dado por la expresión: f(t) = e +2+10 0<t<12
a) ¿En qué periodo de tiempo aumenta el consumo? ¿En cuál disminuye?
b) ¿En qué instante se produce el consumo máximo? ¿Y el mínimo?
c) Represente gráficamente la función.
SOCIALES IL. 2001 RESERVA 2. EJERCICIO 2. OPCIÓN B"
Mates CCSS,2001,Funciones CCSS,Reserva 3,"Ejercicio 2, Opción B","Determine los valores que han de tomar “a” y “b” para que la función:
Ax+b si x<l
160-|
ax*+6x-7 six>1
sea derivable.
SOCIALES IT. 2001. RESERVA 3. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2001,Funciones CCSS,Reserva 4,"Ejercicio 2, Opción B","El estudio de la rentabilidad de una empresa revela que una inversión de x millones de pesetas
produce una ganancia de f(x) millones de pts, siendo:
si 0<x<5
six>5
a) Represente la función f(x).
b) Halle la inversión que produce máxima ganancia.
c) Halle el valor de la inversión que produce ganancia nula.
d) Razone lo que ocurre con la rentabilidad si la inversión se incrementa indefinidamente.
SOCIALES Il. 2001 RESERVA 4. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2001,Funciones CCSS,Septiembre,"Ejercicio 2, Opción B","ax?-2 six<-2
Dada la función: f(x)= a si -2<x<2
x si x>2
a) Calcule el valor de “a” para que f' sea continua en x=2.
b) Estudie la continuidad y la derivabilidad de f cuandoa =2.
c) Dibuje la gráfica de la función que se obtiene cuando a=2.
SOCIALES Il. 2001. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2002,Funciones CCSS,Junio,"Ejercicio 2, Opción B","Sea x, en euros, el precio de venta del litro de aceite de oliva virgen extra.
4 0% A :
Sea f(x)=2- Ú con x>0, la función que representa el balance económico quincenal, en
x+
miles de euros, de una empresa agrícola.
a) Represente la función f.
b) ¿A partir de qué precio de venta del litro de aceite empieza esta empresa a tener beneficios?.
c) ¿Están limitadas las ganancias quincenales de esta empresa? ¿ Y las pérdidas?.
SOCIALES IL. 2002 JUNIO. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2002,Funciones CCSS,Reserva 3,"Ejercicio 2, Opción B","El beneficio obtenido por la producción y venta de x kilogramos de un artículo viene dado por
la función: B(x)=—0'01x?+3'6x-—180.
a) Represente gráficamente esta función. b) Determine el número de kilogramos que hay que
producir y vender para que el beneficio sea máximo. c) Determine cuántos kilogramos se deben
producir y vender, como máximo, para que la empresa no tenga pérdidas.
SOCIALES Il. 2002 RESERVA 3. EJERCICIO 2. OPCIÓN B"
Mates CCSS,2002,Funciones CCSS,Reserva 4,"Ejercicio 2, Opción A","a) Determine los valores de a y b para que sea derivable la función:
19]
ax +bx-3 si xs1l
2bx-4 si x>1
b) Represente gráficamente la función fsi a=1 y b=2.
SOCIALES II. 2002. RESERVA 4. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2002,Funciones CCSS,Septiembre,"Ejercicio 2, Opción A","Calcule las funciones derivadas de las siguientes:
e* x+2
3
a) f(x)= bd) g(x)=4x-L(3x+1).0) h(x)=(x?-D-(x?2x).d) p(x) ==
x""-1 x-2
SOCIALES Il. 2002. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
