subject,topic,year,exam,exercise,statement
química,Termoquímica,2014,Reserva 4,Ejercicio 5 Opción A,"A partir de los siguientes valores de energías de enlace en kJ/mol: C=0(707) ; O = O(496) ; | H-0(464) ; C- H(414) , calcule: | a) La variación de entalpía para la reacción: CH ,(g) + 20 ,(g) > CO,(g) + 2H,0(g). | b) ¿Qué energía se desprende al quemar CH ,(g) con 10,5 L de O , medidos a 1 atm y 125*C? | Dato: R =0'082 atm-L-mol '-.K-'. | QUÍMICA. 2014. RESERVA 4. EJERCICIO 5. OPCIÓN A"
química,Termoquímica,2014,Septiembre,Ejercicio 6 Opción A,"Determine: | a) La entalpía de la reacción en la que se forma 1 mol de N5O (g) a partir de los elementos | que lo integran. Utilice los siguientes datos: | N,(g) + 30,(g8) + H,(g) > 2HNO¡;(aq) AH =-414,7 kJ | N;0 ;(g) + H,00) > 2HNO,(ag) — AH'=-140,2kJ | 2H,(g) + O,(g) > 2H,0(1) AH' =-—571,7 kJ | b) La energía necesaria para la formación de 50 L de N ,O ¿(g) a 25*C y 1 atm de presión a | partir de los elementos que lo integran. Dato: R =0,082 atm-L-mol -'.K- | QUÍMICA. 2014. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
quimica,Termoquímica,2015,Junio,Ejercicio 6 Opción B,"Las plantas verdes sintetizan glucosa mediante la fotosíntesis según la reacción: | 6CO,(g) + 6H,0(1) > C-H,O((s) + 60,(g) | a) Calcule la entalpía de reacción estándar, a 25""C, indicando si es exotérmica o endotérmica. | b) ¿Qué energía se desprende cuando se forman 500 g de glucosa a partir de sus elementos?. | Datos: AH,""[C,H,,0,(s) |=-673'3 KJ/mol ; AH *[CO,(8) |=-393'5 kJ/mol ; | AH| H;0() |=-285'8 kJ/mol . Masas atómicas: C=12; H=1; 0=16 | QUIMICA. 2015. JUNIO. EJERCICIO 6. OPCIÓN B"
química,Termoquímica,2015,Reserva 1,Ejercicio 3 Opción B,"Dado el siguiente proceso de disolución: | NaCl(s) + H ,O(1) > Na*(aq) + Cl (ag)  AH=1'7kJ | Indique razonadamente si las siguientes afirmaciones son verdaderas o falsas: | a) El proceso es exotérmico. | b) Se produce un aumento de la entropía. | C) El proceso es siempre espontáneo. | QUÍMICA. 2015. RESERVA 1. EJERCICIO 3. OPCIÓN B"
química,Termoquímica,2015,Reserva 2,Ejercicio 6 Opción A,"A partir de las siguientes ecuaciones termoquímicas: | N ,(8) + 20,(g8) > 2N0,(g)  AH'=67'6kJ | 2NO(g) + O,(g) > 2N0,(g) AH'=-112'8kJ | a) Calcule la entalpía de formación estándar, a 25*C, del monóxido de nitrógeno. | b) Calcule los litros de aire necesarios para convertir en dióxido de nitrógeno 50 L de monóxido | de nitrógeno, todos ellos medidos en condiciones normales. | Datos: Composición volumétrica del aire: 21% O , y 79% N ,. | QUÍMICA. 2015. RESERVA 2. EJERCICIO 6. OPCIÓN A"
química,Termoquímica,2015,Reserva 3,Ejercicio 5 Opción B,"a) Calcule la entalpía de formación estándar, a 25*C, de la sacarosa (C ,,H ,,0 ¡). | b) Si nuestros músculos convierten en trabajo sólo el 30% de la energía producida en la | combustión de la sacarosa, determine el trabajo muscular que podemos realizar al metabolizar | 1 g de sacarosa. | Datos: AH* | combustión | (C H 0 ) =-5650 kJ/mol; AH ?[CO ,(8) |=-393'5 kJ/mol; | AH? [H 20(1)] =—285'S kJ/mol ; Masas atómicas C=12; O=16; H=1. | QUÍMICA. 2015. RESERVA 3. EJERCICIO 5. OPCIÓN B"
química,Termoquímica,2015,Reserva 4,Ejercicio 5 Opción A,"El propano (C ¿H ;) es uno de los combustibles fósiles más utilizados. | a) Formule y ajuste su reacción de combustión y calcule la entalpía estándar de combustión. | b) Calcule los litros de dióxido de carbono que se obtienen, medidos a 25*C y 760 mmHg, si la | energía intercambiada ha sido de 5990 kJ. | Datos: R =0,082 atm-L-mol-'-K-'. Energías medias de enlace (kJ - mol -'): (C-C) =347; | (C— H)=415; (0— H) = 460; (0=0)=494 y (C=0)=730. | QUÍMICA. 2015. RESERVA 4. EJERCICIO 5. OPCIÓN A"
química,Termoquímica,2015,Septiembre,Ejercicio 5 Opción A,"Teniendo en cuenta las entalpias estándar de formación a 25*C del butano, C,H,, , dióxido de | carbono y agua líquida son, respectivamente, —125'7,—393'5 y —285'5 kJ -mol', calcula el | calor de combustión estándar del butano a esa temperatura: | a) A presión constante. | b) A volumen constante. | Datos: R =8'31 J-mol '.K-. | QUÍMICA. 2015. SEPTIEMBRE. EJERCICIO 5. OPCIÓN A"
química,Termoquímica,2016,Junio,Ejercicio 3 Opción B,"Dada la siguiente ecuación termoquímica: 2H,(g) + O,(g) —> 2H,0(g) AH=-483'6kJ | Justifique cuáles de las siguientes afirmaciones son verdaderas y cuáles falsas: | a) Al formarse 18 g de agua en esas condiciones se desprenden 4836 KJ. | b) Dado que AH <0, la formación de agua es un proceso espontáneo. | e) La reacción de formación del agua será muy rápida. | Masas atómicas: H = 1; O = 16. | QUÍMICA. 2016. JUNIO. EJERCICIO 3. OPCIÓN B"
química,Termoquímica,2016,Reserva 1,Ejercicio 5 Opción A,"a) En la reacción de combustión de 1 mol de propano (C ;¿H,), a 127*C y presión constante, se | desprenden 2200 kJ. Calcule el calor de reacción a volumen constante a la misma temperatura, | considerando que todas las especies están en estado gaseoso. | b) Calcule la entalpía estándar de combustión del propano, a 25%C, conocidas las energías | medias de los enlaces | (kJ / mol) : (C- C) =347; (C - H) =414);(0 =0) =498'7; (C =0) = 745; (0 — H) = 460 | Dato: R =8'31 J-mol '.K-. | QUÍMICA. 2016. RESERVA 1. EJERCICIO 5. OPCIÓN A"
