subject,year,topic,exam,exercise,statement
MATES_CCSS,2001,Funciones CCSS,Junio,Ejercicio 2 Opción A,"Calcule las funciones derivadas de las siguientes:
a) )=5
x
b) g(x)=(1-x*)cos x
c) h(x)=4xº—5x+%
e
SOCIALES II. 2001. JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2001,Funciones CCSS,Reserva 1,Ejercicio 2 Opción A,"beneficio diario, en euros, será: B(x)=-10x? +100x—210.
a) Represente la función precio-beneficio.
b) Indique a qué precio debe vender cada caja de fresas para obtener el máximo beneficio.
¿Cuál será ese beneficio máximo?
c) Determine a qué precios de la caja obtiene pérdidas el agricultor.
SOCIALES II. 2001 RESERVA 1. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2001,Funciones CCSS,Reserva 2,Ejercicio 2 Opción B,"El consumo de luz (en miles de pesetas) de una vivienda, en función del tiempo transcurrido,
nos viene dado por la expresión: f(£) = —%t2 +21+10 O<r<12
a) ¿En qué periodo de tiempo aumenta el consumo? ¿En cuál disminuye?
b) ¿En qué instante se produce el consumo máximo? ¿Y el mínimo?
) Represente gráficamente la función.
SOCIALES II. 2001 RESERVA 2. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2001,Funciones CCSS,Reserva 3,Ejercicio 2 Opción B,"Determine los valores que han de tomar “a” y “b” para que la función:
4x+b six<1
fo)=í
ax+6x-7 si x>1
sea derivable. .
SOCIALES II. 2001. RESERVA 3. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2001,Funciones CCSS,Reserva 4,Ejercicio 2 Opción B,"El estudio de la rentabilidad de una empresa revela que una inversión de x millones de pesetas
produce una ganancia de f(x) millones de pts, siendo:
si O<x<5
si xr>5
a) Represente la función f (x).
b) Halle la inversión que produce máxima ganancia.
c) Halle el valor de la inversión que produce ganancia nula.
d) Razone lo que ocurre con la rentabilidad si la inversión se incrementa indefinidamente.
SOCIALES II. 2001 RESERVA 4. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2001,Funciones CCSS,Septiembre,Ejercicio 2 Opción B,"ax?-2 six<—2
Dada la función: f(x)= a si -2<x<2
x si x>2
a) Calcule el valor de “a” para que f sea continua en x=2.
b) Estudie la continuidad y la derivabilidad de f cuandoa =2.
) Dibuje la gráfica de la función que se obtiene cuando a =2.
SOCIALES II. 2001. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2002,Funciones CCSS,Junio,Ejercicio 2 Opción B,"Sea r, en euros, el precio de venta del litro de aceite de oliva virgen extra.
Sea f(x)=2- T con x >0, la función que representa el balance económico quincenal, en
X+
miles de euros, de una empresa agrícola.
a) Represente la función f.
b) ¿A partir de qué precio de venta del litro de aceite empieza esta empresa a tener beneficios?.
) ¿Están limitadas las ganancias quincenales de esta empresa? ¿ Y las pérdidas?.
SOCIALES II. 2002 JUNIO. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2002,Funciones CCSS,Reserva 3,Ejercicio 2 Opción B,"El beneficio obtenido por la producción y venta de x kilogramos de un artículo viene dado por
la función: B(x)=-0'01x?+3'6x-—180.
a) Represente gráficamente esta función. b) Determine el número de kilogramos que hay que
producir y vender para que el beneficio sea máximo. c) Determine cuántos kilogramos se deben
producir y vender, como máximo, para que la empresa no tenga pérdidas.
SOCIALES II. 2002 RESERVA 3. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2002,Funciones CCSS,Reserva 4,Ejercicio 2 Opción A,"a) Determine los valores de a y b para que sea derivable la función:
f(x)=í
ax? +bx-3 si x<1
25x-4 si x>1
b) Represente gráficamente la función f si a =1 y b=2.
SOCIALES II. 2002. RESERVA 4. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2002,Funciones CCSS,Septiembre,Ejercicio 2 Opción A,"Calcule las funciones derivadas de las siguientes:
e x+2
3
a) f(x)= .b) g(x)=4x-L(3x+1). 0) h(x)=(x""-1)-(x?2x) . d) px) = —
x —1 x—2
SOCIALES II. 2002. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2003,Funciones CCSS,Junio,Ejercicio 2 Opción A,"SELECTIVIDAD
—(x-1?+b si x<2
a(x—-3/+3 si x>2
a) Sea la función f(x)= í . Halle a y b para que la función sea continua y
derivable en x=2.
2x+1
b) Halle la función derivada de g(x)= W
x —
SOCIALES II. 2003. JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2003,Funciones CCSS,Reserva 2,Ejercicio 2 Opción A,"Se conoce que el rendimiento de un jugador de fútbol durante los primeros 45 minutos de un
partido viene dado por la función f :[0,4S] >R cuya expresión analítica es
f(a1)=7'21-0'16t* , donde t es el tiempo, expresado en minutos.
a) Represente gráficamente esta función.
b) ¿Cuál es el máximo rendimiento del jugador?. ¿En qué momento lo consigue?. ¿En qué
instantes tiene un rendimiento igual a 32?.
SOCIALES II. 2003 RESERVA 2. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2003,Funciones CCSS,Reserva 3,Ejercicio 2 Opción A,"por f(x)=x*-42x” +576x—2296, en función de la hora x, siendo 11< x <20.
a) Halle los extremos relativos de esta función.
b) Represente esta función y determine las horas en las que crece el número medio de clientes.
c) Halle los valores máximos y mínimos del número medio de clientes que visitan el hipermercado
entre las 11 y las 20 horas.
SOCIALES II. 2003 RESERVA 3. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2003,Funciones CCSS,Reserva 4,Ejercicio 2 Opción A,"Los beneficios esperados de una inmobiliaria en los próximos 5 años vienen dados por la
función: B(£)=1"" —9” +24t (t indica el tiempo, en años, 0<? <5)
a) Represente la evolución del beneficio esperado en función del tiempo.
b) En ese periodo, ¿cuándo será máximo el beneficio esperado?.
SOCIALES II. 2003 RESERVA 4. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2004,Funciones CCSS,Junio,Ejercicio 2 Opción A,"La temperatura 7, en grados centígrados, que adquiere una pieza sometida a un proceso viene
dada en función del tiempo ?, en horas, por la expresión:
T(t)=40t -10? con O<t<4
a) Represente gráficamente la función 7 y determine la temperatura máxima que alcanza la
pieza.
b) ¿Qué temperatura tendrá la pieza transcurrida 1 hora?. ¿Volverá a tener esa misma
temperatura en algún otro instante?.
SOCIALES II. 2004 JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2004,Funciones CCSS,Reserva 2,Ejercicio 2 Opción B,"a) Estudie la continuidad y derivabilidad de la función:
X —4x+7 si x<3
fE)= 4
— si x>3
x—2
b) Calcule la derivada de g(x)=(x+1)-e""
SOCIALES II. 2004. RESERVA 2. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2004,Funciones CCSS,Septiembre,Ejercicio 2 Opción A,"Calcule las derivadas de las siguientes funciones (no es necesario simplificar el resultado):
a) f(x)=%—(5x—x*)z
b) 8(x)=(x-D-Lx
e) h(x) =2
d) i(x) = (x? —6x)-(x?+1*
SOCIALES II. 2004. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2005,Funciones CCSS,Junio,Ejercicio 2 Opción A,"2 si x<1
Sea la función f(x)=s4 2
— si x>1
X
a) Estudie la continuidad y la derivabilidad de f.
b) Calcule sus asíntotas.
c) Determine la ecuación de la recta tangente a la gráfica de f en el punto de abscisa x =2
SOCIALES II. 2005. JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2005,Funciones CCSS,Junio,Ejercicio 2 Opción B,"El beneficio, en millones de euros, de una empresa en función del tiempo t, en años, viene dado
por:
fO =- +121-31 A<t<7
a) Represente la gráfica de la función f.
b) ¿Para qué valor de t alcanza la empresa su beneficio máximo y a cuánto asciende?. ¿Para qué
valor de / alcanza su beneficio mínimo y cuál es éste?.
SOCIALES II. 2005. JUNIO. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2005,Funciones CCSS,Reserva 3,Ejercicio 2 Opción B,"Halle f'(2) ; g'(4) y h'(0) para las funciones definidas de la siguiente forma:
f(x)=xz+2 ; 8(x)=(x""+9) ; h(x)=L(x*+1)
x
SOCIALES II. 2005. RESERVA 3. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2005,Funciones CCSS,Septiembre,Ejercicio 2 Opcion A,"viene dado por la función: f (£)=-4f* + 60t —15 1<t<$
a) ¿Cuál será el valor de las existencias para 1 =2? ¿Y para 1 =4?.
b) ¿Cuál es el valor máximo de las existencias? ¿En que instante se alcanza?.
c) ¿En qué instante el valor de las existencias es de 185 miles de euros?
SOCIALES II. 2005 SEPTIEMBRE. EJERCICIO 2. OPCION A"
MATES_CCSS,2006,Funciones CCSS,Junio,Ejercicio 2 Opción A,"a) Halle los valores de a y b para que la gráfica de la función f(x)=ax* +3x? —5x+b pase
por el punto (1,—3) y tenga el punto de inflexión en x =—1.
b) Halle los intervalos de monotonía y los extremos relativos de la función definida por
g(x)=x?-3x +7
SOCIALES II. 2006. JUNIO. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2006,Funciones CCSS,Junio,Ejercicio 2 Opción B,"x
Sea la función f definida por: f(x)=52x-1
X +x si x>0
x<0
a) Estudie la continuidad y derivabilidad de f.
b) Calcule la ecuación la recta tangente a la gráfica de la función en el punto de abscisa x =1.
SOCIALES II. 2006. JUNIO. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2006,Funciones CCSS,Reserva 1,Ejercicio 2 Opción A,"Sean las funciones f(x)=x""-4x+6 y g(x)=2x-x”.
a) Determine, para cada una de ellas, los puntos de corte con los ejes, el vértice y la curvatura.
Represéntelas gráficamente.
b) Determine el valor de x para el que se hace mínima la función 7(x)= f (x)-— g(x)
SOCIALES II. 2006. RESERVA 1. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2006,Funciones CCSS,Reserva 1,Ejercicio 2 Opción B,"Calcule las derivadas de las siguientes funciones:
a) f<x)=1“x3x+(5x—z)º
b) g(x)=(x""+2)-L(x?+2)
e) h(x)=3"" +e""
SOCIALES II. 2006. RESERVA 1. EJERCICIO 2. OPCIÓN B"
MATES_CCSS,2006,Funciones CCSS,Reserva 2,Ejercicio 2 Opción A,"x?—1lsi x<1
x—1l si x>1
Consideremos la función: f(x)= í
a) Estudie su continuidad y derivabilidad.
b) Determine la monotonía de f .
C) Represente gráficamente esta función.
SOCIALES II. 2006. RESERVA 2. EJERCICIO 2. OPCIÓN A"
MATES_CCSS,2006,Funciones CCSS,Reserva 2,Ejercicio 2 Opción B,"3x—2
a) Calcule la ecuación de la recta tangente a la gráfica de g(x)= * 1 en el punto de abscisa
X+
x=1.
b) Se considera la función f (x) = ax? —bx +4. Calcule los valores de los parámetros a y b para
que f tenga un extremo relativo en el punto (1, 10).
SOCIALES II. 2006. RESERVA 2. EJERCICIO 2. OPCIÓN B"
