subject,year,topic,exam,exercise,statement
Mates CCSS,2001,Programación Lineal,Junio,Ejercicio 1 Opción A,"Para fabricar dos tipos de cable, A y B, que se venderán a 0”9 € y 0% € el metro,
respectivamente, se emplean 16 Kg de plástico y 4 Kg de cobre para cada Hm del tipo A y 6 Kg
de plástico y 12 Kg de cobre para cada Hm del tipo B.
Sabiendo que la longitud de cable fabricado del tipo B no puede ser mayor que el doble de la
del tipo A y que, además, no pueden emplearse más de 252 Kg de plástico ni más de 168 Kg de
cobre, determine la longitud, en Hm, de cada tipo de cable que debe fabricarse para que la
cantidad de dinero obtenida en su venta sea máxima.
SOCIALES II. 2001 JUNIO. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2001,Programación Lineal,Reserva 1,Ejercicio 1 Opción B,"x—-y-2<0
Sea el recinto definido por las siguientes inecuaciones: 3x +4y —20<0
x>0
y>0.
a) Dibuje dicho recinto y determine sus vértices.
b) Determine en qué punto de ese recinto alcanza la función F(x,y)=4x+3y el máximo
valor.
SOCIALES II. 2001 RESERVA 1. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2001,Programación Lineal,Reserva 2,Ejercicio 1 Opción B,"xX+)y
Sea el conjunto de restricciones siguiente:
YX
a) Dibuje la región factible determinada por dichas restricciones. b) Calcule los vértices de
dicha región. c) Obtenga los puntos en los que la función objetivo F (x, y)= x+2y presenta el
máximo y el mínimo.
SOCIALES II. 2001 RESERVA 2. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2001,Programación Lineal,Reserva 3,Ejercicio 1 Opción B,"Represente gráficamente el recinto definido por el siguiente sistema de inecuaciones:
2x+y 18
2x+3y 26
xX+y 16
x>0 ; y>0
a) Calcule los vértices de ese recinto. b) Obtenga en dicho recinto el valor máximo y el mínimo
de la función F (x, y) = 5x + 3y . Diga en que puntos se alcanzan.
SOCIALES II. 2001 RESERVA 3. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2001,Programación Lineal,Reserva 4,Ejercicio 1 Opción A,"Se quiere organizar un puente aéreo entre dos ciudades, con plazas suficientes de pasaje y
carga, para transportar 1600 personas y 96 toneladas de equipaje. Los aviones disponibles son
de dos tipos: 11 del tipo A y $ del tipo B. La contratación de un avión del tipo A cuesta 24.000 €
y puede transportar 200 personas y 6 toneladas de equipaje; la contratación de uno del tipo B
cuesta 6.000 € y puede transportar 100 personas y 15 toneladas de equipaje. ¿Cuántos aviones
de cada tipo deben utilizarse para que el coste sea mínimo?.
SOCIALES II. 2001 RESERVA 4. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2001,Programación Lineal,Septiembre,Ejercicio 1 Opción B,"Cierta sala de espectáculos tiene una capacidad máxima de 1500 personas, entre adultos y
niños; el número de niños asistentes no puede superar los 600. El precio de la entrada a una
sesión de un adulto es de 5 €, mientras que la de un niño es de un 40% menos. El número de
adultos no puede superar al doble del número de niños.
Cumpliendo las condiciones anteriores, ¿cuál es la cantidad máxima que se puede recaudar por
la venta de entradas? ¿Cuántas de las entradas serán de niños?.
SOCIALES II. 2001 SEPTIEMBRE. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2002,Programación Lineal,Junio,Ejercicio 1 Opción B,"Sea el sistema de inecuaciones siguiente: x + y <120;3y < x; x <100; y >10
a) Represente gráficamente la región factible y calcule sus vértices.
b) ¿En qué punto de esa región, F (x, y) =25x + 20y alcanza el máximo?.
SOCIALES II. 2002 JUNIO. EJERCICIO 1 OPCIÓN B"
Mates CCSS,2002,Programación Lineal,Reserva 1,Ejercicio 1 Opción B,"Un ahorrador dispone de 10000 euros para invertir en fondos de dos tipos: A ó B. La inversión
en fondos A debe superar los 5000 euros y, además, ésta debe doblar, al menos, la inversión en
fondos B.
La rentabilidad del pasado año de los fondos A ha sido del 2?7 % y la de los B ha sido del 673
%.
Suponiendo que la rentabilidad continúe siendo la misma, determine la inversión que obtenga
el máximo beneficio. Calcule este beneficio. .
SOCIALES II. 2002 RESERVA 1. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2002,Programación Lineal,Reserva 2,Ejercicio 1 Opción B,"Una empresa pastelera dispone semanalmente de 160 kg de azúcar y de 240 kg de almendra
para hacer tortas de almendra y tabletas de turrón.
Se necesitan 150 g de almendra y 50 g de azúcar para hacer una torta de almendra y 100 g de
almendra y 100 g de azúcar para cada tableta de turrón. El beneficio neto por la venta de cada
torta es 1775 euros, y por cada tableta de turrón es de 1 euro.
Determine cuántas tortas de almendra y cuántas tabletas de turrón han de elaborarse para
obtener la máxima ganancia. ¿Cuál es el beneficio máximo semanal?.
SOCIALES II. 2002 RESERVA 2. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2002,Programación Lineal,Reserva 3,Ejercicio 1 Opción A,"Una fábrica de muebles dispone de 600 kg de madera para fabricar librerías de 1 y de 3
estantes. Se sabe que son necesarios 4 kg de madera para fabricar una librería de 1 estante,
siendo su precio de venta 20 euros; para fabricar una librería de 3 estantes se necesitan 8 kg de
madera y el precio de venta de ésta es 35 euros.
Calcule el número de librerías de cada tipo que se deben fabricar para obtener el máximo
ingreso, sabiendo que, por falta de otros materiales, no se pueden fabricar más de 120 librerías
de 1 estante, ni tampoco más de 70 de 3 estantes.
SOCIALES II. 2002 RESERVA 3. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2002,Programación Lineal,Reserva 4,Ejercicio 1 Opción B,"Una persona desea adelgazar. En la farmacia le ofrecen dos compuestos A y B para que tome
una mezcla de ambos en la comida, con las siguientes condiciones:
No debe tomar más de 150 g de la mezcla, ni menos de 50 g.
La cantidad de A debe ser mayor o igual que la de B.
No debe incluir más de 100 g del compuesto A.
Se sabe que cada 100 g de A contienen 30 mg de vitaminas y cada 100 g de B contienen 20 mg
de vitaminas.
a) Formule matemáticamente el conjunto de restricciones, dibuje la región factible y determine
sus vértices.
b) ¿Cuántos gramos debe tomar de cada compuesto para obtener el preparado más rico en
vitaminas?
SOCIALES II. 2002 RESERVA 4. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2002,Programación Lineal,Septiembre,Ejercicio 1 Opción B,"Una fábrica produce dos tipos de juguetes, muñecas y coches teledirigidos. La fábrica puede
producir, como máximo, 200 muñecas y 300 coches. La empresa dispone de 1800 horas de
trabajo para fabricar los juguetes y sabe que la producción de cada muñeca necesita 3 horas de
trabajo y reporta un beneficio de 10 euros, mientras que la de cada coche necesita 6 horas de
trabajo y reporta un beneficio de 15 euros.
Calcule el número de muñecas y de coches que han de fabricarse para que el beneficio global
de la producción sea máximo y obtenga dicho beneficio.
SOCIALES II. 2002 SEPTIEMBRE. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2003,Programación Lineal,Junio,Ejercicio 1 Opción A,"—Sx+3y <2
Sea el siguiente sistema de inecuaciones: $ —x+2y>6
2x+3y <37
a) Represente el conjunto solución y determine sus vértices.
b) Halle el punto del recinto anterior en el cual la función F (x, y)=-2x + 5y alcanza su valor
máximo.
SOCIALES II. 2003 JUNIO. EJERCICIO 1 OPCIÓN A"
Mates CCSS,2003,Programación Lineal,Reserva 1,Ejercicio 1 Opción A,"a) Represente gráficamente la región del plano delimitada por las siguientes inecuaciones:
—+ % >1; y<x ; x<2. Determine sus vértices.
3
b) Calcule los valores máximo y mínimo de la función F(x,y)=-x+2y-3 en la región
anterior e indique para qué valores se alcanzan.
SOCIALES II. 2003 RESERVA 1. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2003,Programación Lineal,Reserva 2,Ejercicio 1 Opción A,"Una piscifactoría vende gambas y langostinos a 10 y 15 € el Kg, respectivamente. La
producción máxima mensual es de 1 Tm de cada producto y la producción mínima mensual es
de 100 Kg de cada uno.
Si la producción total es, a lo sumo, de 1700 Kg al mes, ¿cuál es la producción que maximiza los
ingresos mensuales?. Calcule estos ingresos máximos.
SOCIALES II. 2003 RESERVA 2. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2003,Programación Lineal,Reserva 3,Ejercicio 1 Opcion B,"a) Represente gráficamente la región del plano delimitada por las siguientes inecuaciones:
X +2y > 80; 3x +2y > 160; x + y <70 y determine sus vértices.
b) Calcule el máximo y el mínimo de la función F (x,y)=9x+8y-5 en la región anterior e
indique para qué valores se alcanzan. .
SOCIALES II. 2003 RESERVA 3. EJERCICIO 1 OPCION B."
Mates CCSS,2003,Programación Lineal,Reserva 4,Ejercicio 1 Opción A,"Una empresa fabrica sofás de dos tipos, A y B, por los que obtiene un beneficio, por unidad, de
1500 y 2000 €, respectivamente.
Al menos se deben fabricar 6 sofás del tipo A y 10 del tipo B, por semana, y además, el número
de los del tipo A no debe superar en más de 6 unidades al número de los del B.¿Cuántas
unidades de cada tipo se deben fabricar semanalmente para obtener beneficio máximo, si no se
pueden fabricar más de 30 sofás semanalmente?.
SOCIALES II. 2003 RESERVA 4. EJERCICIO 1 OPCIÓN A."
Mates CCSS,2003,Programación Lineal,Septiembre,Ejercicio 1 Opción B,"Una empresa gana 150 € por cada tonelada de escayola producida y 100 € por cada tonelada de
yeso.
La producción diaria debe ser como mínimo de 30 Tm de escayola y 30 Tm de yeso. La
cantidad de yeso no puede superar en más de 60 Tm a la de escayola. El triple de la cantidad de
escayola, más la cantidad de yeso, no puede superar 420 Tm. Calcule la cantidad diaria que
debe producirse de cada material, para obtener la máxima ganancia y determine dicha
ganancia.
SOCIALES II. 2003 SEPTIEMBRE. EJERCICIO 1 OPCIÓN B."
Mates CCSS,2004,Programación Lineal,Junio,Ejercicio 1 Opción A,"xX+y<6
3x—-2y<13
xX+3y>—-3
x>0
Sea el siguiente sistema de inecuaciones:
a) Dibuje el recinto cuyos puntos son las soluciones del sistema y obtenga sus vértices.
b) Halle los puntos del recinto en los que la función F (x, y) = x —2y toma los valores máximo y
mínimo, y determine éstos.
SOCIALES II. 2004 JUNIO. EJERCICIO 1 OPCIÓN A"
