exam_name|statement
química - solubilidad - 2021 - Julio - Ejercicio C2|"A 25""C el producto de solubilidad del sulfuro de níquel(I) es 3'2-10-”. Calcule:
a) La solubilidad del NiS en mol/L y en g/L
b) La solubilidad del NiS en una disolución 0%05 M de Na,S.
Datos: Masas atómicas relativas: Ni=58'7 ; S=32
QUÍMICA. 2021. JULIO. EJERCICIO C2"
química - solubilidad - 2020 - Septiembre - C4|"a) Se mezclan 100 mL de una disolución de nitrato de talio (TINO 3) 4-10-* M con 300 mL
de otra disolución de cloruro de sodio (NaCI) 8-10-* M. Sabiendo que el producto de
solubilidad del cloruro de talio (TICI) es 1'9-10 -*, deduzca si precipitará dicha sal en estas
condiciones.
b) Calcule la solubilidad del Mg(OH), en agua pura, sabiendo que su producto de solubilidad
es 3'4-10-*.
QUIMICA. 2020. SEPTIEMBRE. C4"
química - solubilidad - 2012 - Junio - Ejercicio 3 Opción A|"En un vaso de agua se pone una cierta cantidad de una sal poco soluble, de fórmula general
AB ,, y no se disuelve completamente. El producto de solubilidad es K ;:
a) Deduzca la expresión que relaciona la concentración molar de A** con el producto de
solubilidad de la sal.
b) Si se añade una cantidad de sal muy soluble CB,. Indique, razonadamente, la variación que
se produce en la solubilidad de la sal AB;.
c) Si B es el ión OH-. ¿Cómo influye la disminución del pH en la solubilidad del compuesto?.
QUÍMICA. 2012. JUNIO. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2021 - Reserva 1 - Ejercicio C4|"Se disuelve hidróxido de cadmio, Ca(OH),, en agua hasta obtener una disolución saturada a una
temperatura dada. Sabiendo que la concentración de iones OH”- es 3'68-1075 M, calcule:
a) La solubilidad del hidróxido de cadmio y el valor de la constante del producto de solubilidad del
compuesto a esta temperatura.
b) Si a 100 mL de la disolución anterior se le añaden 0”5 g de NaOH, ¿cuál será la concentración
molar de iones Cd?* en la disolución?
Datos: Masas atómicas: Na =23 ; H=1; 0=16
QUÍMICA. 2021. RESERVA 1. EJERCICIO C4"
química - solubilidad - 2014 - Reserva 4 - Ejercicio 6 Opción A|"La solubilidad del Mn(OH) , en agua a cierta temperatura es de 0,0032 g/L. Calcular:
a) El valor de K ..
b) A partir de qué pH precipita el hidróxido de manganeso(II) en una disolución que es 0,06 M
en Mn”.
Datos: Masas atómicas H =1 ; Mn=55; 0=16.
QUÍMICA. 2014. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química - solubilidad - 2016 - Septiembre - Ejercicio 5 Opción B|"A 25%C, el producto de solubilidad del Ca(OH),, es 2'5-10-""
a) ¿Cuántos gramos de Cd(OH), pueden disolverse en 175 litros de agua a esa temperatura.
b) ¿Cuál será el pH de la disolución resultante?
Datos: Masas atómicas: Cd =112'4; H=1; 0=16
QUÍMICA. 2016. SEPTIEMBRE. EJERCICIO 5. OPCIÓN B"
química - solubilidad - 2014 - Septiembre - Ejercicio 3 Opción A|"Razone si son verdaderas o falsas las siguientes afirmaciones:
a) El producto de solubilidad del FeCO, disminuye si se añade Na,CO, a una disolución
acuosa de la sal.
b) La solubilidad del FeCO, en agua pura (K .= 3,2-10-""') es aproximadamente la misma
que la del CaF, (K ,=5,3-10”).
c) La solubilidad del FeCO , aumenta si se añade Na ,CO ; a una disolución acuosa de la sal.
QUÍMICA. 2014. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2015 - Junio - Ejercicio 3 Opción A|"Dada una disolución saturada de Mg(OH),, cuyo K , =1'2-10"".
a) Exprese el valor de K, en función de la solubilidad.
b) Razone cómo afectará a la solubilidad la adición de NaOH.
€) Razone cómo afectará a la solubilidad una disminución del pH
QUÍMICA. 2015. JUNIO. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2020 - Junio - C2|"a) Calcule la solubilidad del fluoruro de calcio, CaF,, en agua pura.
b) Calcule la solubilidad del fluoruro de calcio, CaF,, en una disolución de fluoruro de sodio,
NaF', 0?2 M.
Dato: K, (CaF,)=3'5-10-""
QUÍMICA. 2020. JUNIO. C2"
química - solubilidad - 2021 - Junio - Ejercicio C2|"Una disolución saturada d yoduro de plomo(II) ( PbI,) en agua tiene una concentración de
0'56 g-L'. Calcule:
a) El producto de solubilidad, K., del yoduro de plomo(ID).
b) La solubilidad del PbI,, a la misma temperatura, en una disolución 0%5 M de yoduro de
potasio (KI).
Masas atómicas: I =127 ; Pb = 207
QUÍMICA. 2021. JUNIO. EJERCICIO C2"
